LOCATION,IF_INCLUDE,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
New York state,1,New York,12312,3782,75,19,New York state New York,#N/A,#N/A,#N/A
New York,0,New York,8115,2432,60,17,New York New York,360000,8175133,24245
Westchester,0,New York,1387,296,0,,Westchester New York,36119,949113,3235
Nassau,0,New York,1234,480,4,,Nassau New York,36059,1339532,4181
Suffolk,0,New York,662,203,9,2,Suffolk New York,36103,1493350,3583
Rockland,0,New York,262,161,1,,Rockland New York,36087,311687,791
Orange,0,New York,163,79,0,,Orange New York,36071,372813,902
Albany,0,New York,88,18,0,,Albany New York,36001,304204,1381
Erie,0,New York,50,,0,,Erie New York,36029,919040,2788
Dutchess,0,New York,49,13,0,,Dutchess New York,36027,297488,676
Monroe,0,New York,46,10,1,,Monroe New York,36055,744344,2009
Saratoga,0,New York,35,11,0,,Saratoga New York,36091,219607,259
Onondaga,0,New York,34,21,0,,Onondaga New York,36067,467026,1672
Schenectady,0,New York,32,11,0,,Schenectady New York,36093,154727,538
Putnam,0,New York,31,19,0,,Putnam New York,36079,99710,164
Rensselaer,0,New York,20,5,0,,Rensselaer New York,36083,159429,423
Ulster,0,New York,18,6,0,,Ulster New York,36111,182493,325
Sullivan,0,New York,12,,0,,Sullivan New York,36105,77547,169
Tompkins,0,New York,11,,0,,Tompkins New York,36109,101564,212
Niagara,0,New York,9,5,0,,Niagara New York,36063,216469,623
Columbia,0,New York,7,4,0,,Columbia New York,36021,63096,192
Oneida,0,New York,4,,0,,Oneida New York,36065,234878,725
Ontario,0,New York,4,1,0,,Ontario New York,36069,107931,399
Clinton,0,New York,4,1,0,,Clinton New York,36019,82128,300
Montgomery,0,New York,3,1,0,,Montgomery New York,36057,50219,130
Wayne,0,New York,3,2,0,,Wayne New York,36117,93772,120
Herkimer,0,New York,3,1,0,,Herkimer New York,36043,64519,25
Hamilton,0,New York,2,,0,,Hamilton New York,36041,4836,0
Essex,0,New York,2,1,0,,Essex New York,36031,39370,40
Greene,0,New York,2,,0,,Greene New York,36039,49221,0
Wyoming,0,New York,2,,0,,Wyoming New York,36121,42155,62
Steuben,0,New York,2,,0,,Steuben New York,36101,98990,115
Broome,0,New York,2,,0,,Broome New York,36007,200600,742
Chenango,0,New York,2,,0,,Chenango New York,36017,50477,58
Allegany,0,New York,2,,0,,Allegany New York,36003,48946,76
Livingston,0,New York,2,1,0,,Livingston New York,36051,65393,67
Washington,0,New York,1,,0,,Washington New York,36115,63216,0
Warren,0,New York,1,,0,,Warren New York,36113,65707,410
Schoharie,0,New York,1,,0,,Schoharie New York,36095,32749,40
Tioga,0,New York,1,,0,,Tioga New York,36107,51125,0
Genesee,0,New York,1,,0,,Genesee New York,36037,60079,131
Delaware,0,New York,1,,0,,Delaware New York,36025,47980,67
Fulton,0,New York,1,,0,,Fulton New York,36035,55531,74
Jefferson,0,New York,1,,0,,Jefferson New York,36045,116229,344
Washington state,1,Washington,1793,269,94,11,Washington state Washington,#N/A,#N/A,#N/A
King,0,Washington,934,141,74,7,King Washington,53033,1931249,5433
Snohomish,0,Washington,447,62,10,2,Snohomish Washington,53061,713335,786
Unassigned,2,Washington,146,19,0,,Unassigned Washington,#N/A,#N/A,#N/A
Pierce,0,Washington,95,12,1,,Pierce Washington,53053,795225,2408
Skagit,0,Washington,28,3,0,,Skagit Washington,53057,116901,205
Island,0,Washington,19,,1,,Island Washington,53029,78506,76
Spokane,0,Washington,16,5,0,,Spokane Washington,53063,471221,1847
Kitsap,0,Washington,15,3,0,,Kitsap Washington,53035,251133,381
Whatcom,0,Washington,14,4,2,1,Whatcom Washington,53073,201140,253
Yakima,0,Washington,13,3,0,,Yakima Washington,53077,243231,528
Grant,0,Washington,11,,1,,Grant Washington,53025,89120,186
Clark,0,Washington,9,3,3,,Clark Washington,53011,425363,580
Thurston,0,Washington,9,1,0,,Thurston Washington,53067,252264,474
Benton,0,Washington,7,4,2,1,Benton Washington,53005,175177,447
Kittitas,0,Washington,4,,0,,Kittitas Washington,53037,40915,25
Jefferson,0,Washington,4,,0,,Jefferson Washington,53031,29872,25
Klickitat,0,Washington,4,2,0,,Klickitat Washington,53039,20318,42
