LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
category New York,1,#N/A,New York,15806,3478,117,41,category New York New York,#N/A,#N/A,#N/A
New York,0,#N/A,New York,9654,1534,63,3,New York New York,360000,8175133,24245
Nassau,0,#N/A,New York,1900,666,4,,Nassau New York,36059,1339532,4181
Westchester,0,#N/A,New York,1873,486,0,,Westchester New York,36119,949113,3235
Suffolk,0,#N/A,New York,1034,372,12,3,Suffolk New York,36103,1493350,3583
Rockland,0,#N/A,New York,455,193,1,,Rockland New York,36087,311687,791
Orange,0,#N/A,New York,247,84,0,,Orange New York,36071,372813,902
Albany,0,#N/A,New York,123,35,0,,Albany New York,36001,304204,1381
Dutchess,0,#N/A,New York,82,33,1,1,Dutchess New York,36027,297488,676
Monroe,0,#N/A,New York,68,22,1,,Monroe New York,36055,744344,2009
Erie,0,#N/A,New York,56,,0,,Erie New York,36029,919040,2788
Onondaga,0,#N/A,New York,45,11,0,,Onondaga New York,36067,467026,1672
Saratoga,0,#N/A,New York,35,,0,,Saratoga New York,36091,219607,259
Schenectady,0,#N/A,New York,32,,0,,Schenectady New York,36093,154727,538
Putnam,0,#N/A,New York,31,,0,,Putnam New York,36079,99710,164
Unassigned,2,#N/A,New York,23,23,34,34,Unassigned New York,#N/A,#N/A,#N/A
Rensselaer,0,#N/A,New York,20,,0,,Rensselaer New York,36083,159429,423
Ulster,0,#N/A,New York,18,,0,,Ulster New York,36111,182493,325
Columbia,0,#N/A,New York,17,10,0,,Columbia New York,36021,63096,192
Tompkins,0,#N/A,New York,15,3,0,,Tompkins New York,36109,101564,212
Sullivan,0,#N/A,New York,12,,0,,Sullivan New York,36105,77547,169
Niagara,0,#N/A,New York,9,,0,,Niagara New York,36063,216469,623
Clinton,0,#N/A,New York,4,,0,,Clinton New York,36019,82128,300
Oneida,0,#N/A,New York,4,,0,,Oneida New York,36065,234878,725
Ontario,0,#N/A,New York,4,,0,,Ontario New York,36069,107931,399
Steuben,0,#N/A,New York,4,2,0,,Steuben New York,36101,98990,115
Essex,0,#N/A,New York,3,,0,,Essex New York,36031,39370,40
Herkimer,0,#N/A,New York,3,,0,,Herkimer New York,36043,64519,25
Montgomery,0,#N/A,New York,3,,0,,Montgomery New York,36057,50219,130
Broome,0,#N/A,New York,3,,1,,Broome New York,36007,200600,742
Wayne,0,#N/A,New York,3,,0,,Wayne New York,36117,93772,120
Wyoming,0,#N/A,New York,2,,0,,Wyoming New York,36121,42155,62
Oswego,0,#N/A,New York,2,2,0,,Oswego New York,36075,122109,158
Cortland,0,#N/A,New York,2,,0,,Cortland New York,36023,49336,162
Livingston,0,#N/A,New York,2,,0,,Livingston New York,36051,65393,67
Hamilton,0,#N/A,New York,2,,0,,Hamilton New York,36041,4836,0
Chenango,0,#N/A,New York,2,,0,,Chenango New York,36017,50477,58
Greene,0,#N/A,New York,2,,0,,Greene New York,36039,49221,0
Chemung,0,#N/A,New York,2,2,0,,Chemung New York,36015,88830,391
Allegany,0,#N/A,New York,2,,0,,Allegany New York,36003,48946,76
Schoharie,0,#N/A,New York,1,,0,,Schoharie New York,36095,32749,40
Fulton,0,#N/A,New York,1,,0,,Fulton New York,36035,55531,74
Jefferson,0,#N/A,New York,1,,0,,Jefferson New York,36045,116229,344
Washington,0,#N/A,New York,1,,0,,Washington New York,36115,63216,0
Warren,0,#N/A,New York,1,,0,,Warren New York,36113,65707,410
Genesee,0,#N/A,New York,1,,0,,Genesee New York,36037,60079,131
Tioga,0,#N/A,New York,1,,0,,Tioga New York,36107,51125,0
Delaware,0,#N/A,New York,1,,0,,Delaware New York,36025,47980,67
category Washington,1,#N/A,Washington,1996,203,95,,category Washington Washington,#N/A,#N/A,#N/A
King,0,#N/A,Washington,1040,106,75,,King Washington,53033,1931249,5433
Snohomish,0,#N/A,Washington,480,33,10,,Snohomish Washington,53061,713335,786
Unassigned,2,#N/A,Washington,164,18,0,,Unassigned Washington,#N/A,#N/A,#N/A
Pierce,0,#N/A,Washington,107,12,1,,Pierce Washington,53053,795225,2408
Skagit,0,#N/A,Washington,33,5,0,,Skagit Washington,53057,116901,205
Island,0,#N/A,Washington,21,2,1,,Island Washington,53029,78506,76
Spokane,0,#N/A,Washington,20,4,0,,Spokane Washington,53063,471221,1847
Kitsap,0,#N/A,Washington,18,3,0,,Kitsap Washington,53035,251133,381
Grant,0,#N/A,Washington,18,7,1,,Grant Washington,53025,89120,186
Yakima,0,#N/A,Washington,16,3,0,,Yakima Washington,53077,243231,528
Whatcom,0,#N/A,Washington,14,,2,,Whatcom Washington,53073,201140,253
Thurston,0,#N/A,Washington,11,2,0,,Thurston Washington,53067,252264,474
Clark,0,#N/A,Washington,10,1,3,,Clark Washington,53011,425363,580
Benton,0,#N/A,Washington,7,,2,,Benton Washington,53005,175177,447
Jefferson,0,#N/A,Washington,6,2,0,,Jefferson Washington,53031,29872,25
Clallam,0,#N/A,Washington,4,2,0,,Clallam Washington,53009,71404,163
Kittitas,0,#N/A,Washington,4,,0,,Kittitas Washington,53037,40915,25
Klickitat,0,#N/A,Washington,4,,0,,Klickitat Washington,53039,20318,42
Cowlitz,0,#N/A,Washington,3,1,0,,Cowlitz Washington,53015,102410,202
Chelan,0,#N/A,Washington,3,,0,,Chelan Washington,53007,72453,251
Franklin,0,#N/A,Washington,3,1,0,,Franklin Washington,53021,78163,106
Lewis,0,#N/A,Washington,2,,0,,Lewis Washington,53041,75455,125
Mason,0,#N/A,Washington,1,,0,,Mason Washington,53045,60699,25
Lincoln,0,#N/A,Washington,1,,0,,Lincoln Washington,53043,10570,85
Columbia,0,#N/A,Washington,1,,0,,Columbia Washington,53013,4078,25
Walla Walla County,0,Walla Walla Washington,Washington,1,,0,,Walla Walla County Washington,53071,58781,316
Grays Harbor,0,#N/A,Washington,1,,0,,Grays Harbor Washington,53027,72797,130
Stevens,0,#N/A,Washington,1,,0,,Stevens Washington,53065,43531,90
San Juan,0,#N/A,Washington,1,,0,,San Juan Washington,53055,15769,25
Whitman,0,#N/A,Washington,1,1,0,,Whitman Washington,53075,44776,50
category New Jersey,1,#N/A,New Jersey,1914,587,20,4,category New Jersey New Jersey,#N/A,#N/A,#N/A
Bergen,0,#N/A,New Jersey,457,94,6,,Bergen New Jersey,34003,905116,3019
Unassigned,2,#N/A,New Jersey,221,81,3,3,Unassigned New Jersey,#N/A,#N/A,#N/A
Essex,0,#N/A,New Jersey,172,65,4,,Essex New Jersey,34013,783969,4007
Monmouth,0,#N/A,New Jersey,158,66,3,,Monmouth New Jersey,34025,630380,2176
Middlesex,0,#N/A,New Jersey,147,31,0,,Middlesex New Jersey,34023,809858,2657
Hudson,0,#N/A,New Jersey,126,29,1,,Hudson New Jersey,34017,634266,1878
Union,0,#N/A,New Jersey,124,43,0,,Union New Jersey,34039,536499,1521
Morris,0,#N/A,New Jersey,119,55,1,,Morris New Jersey,34027,492276,2005
Ocean,0,#N/A,New Jersey,102,40,1,,Ocean New Jersey,34029,576567,1522
Passaic,0,#N/A,New Jersey,95,28,0,,Passaic New Jersey,34031,501226,1187
Somerset,0,#N/A,New Jersey,51,17,1,1,Somerset New Jersey,34035,323444,759
Mercer,0,#N/A,New Jersey,40,10,0,,Mercer New Jersey,34021,366513,1690
Burlington,0,#N/A,New Jersey,26,5,0,,Burlington New Jersey,34005,448734,1112
Camden,0,#N/A,New Jersey,22,7,0,,Camden New Jersey,34007,513657,2518
Hunterdon,0,#N/A,New Jersey,16,2,0,,Hunterdon New Jersey,34019,128349,184
Sussex,0,#N/A,New Jersey,12,6,0,,Sussex New Jersey,34037,149265,146
Warren,0,#N/A,New Jersey,9,4,0,,Warren New Jersey,34041,108692,309
Gloucester,0,#N/A,New Jersey,8,2,0,,Gloucester New Jersey,34015,288288,609
Atlantic,0,#N/A,New Jersey,5,1,0,,Atlantic New Jersey,34001,274549,1414
Cape May,0,#N/A,New Jersey,2,,0,,Cape May New Jersey,34009,97265,242
Cumberland,0,#N/A,New Jersey,1,,0,,Cumberland New Jersey,34011,156898,511
Salem,0,#N/A,New Jersey,1,1,0,,Salem New Jersey,34033,66083,222
category California,1,#N/A,California,1797,280,34,6,category California California,#N/A,#N/A,#N/A
Los Angeles,0,#N/A,California,407,56,5,1,Los Angeles California,06037,9818605,28383
Santa Clara,0,#N/A,California,302,39,10,2,Santa Clara California,06085,1781642,3831
San Diego,0,#N/A,California,201,46,0,,San Diego California,06073,3095313,7623
San Mateo,0,#N/A,California,117,7,1,,San Mateo California,06081,718451,1781
San Francisco,0,#N/A,California,108,24,0,,San Francisco California,06075,805235,4733
Alameda,0,#N/A,California,106,35,0,,Alameda California,06001,1510271,3833
Orange,0,#N/A,California,95,17,0,,Orange California,06059,3010232,7902
Contra Costa,0,#N/A,California,61,10,1,,Contra Costa California,06013,1049025,1804
Sacramento,0,#N/A,California,53,,3,,Sacramento California,06067,1418788,3500
Riverside,0,#N/A,California,45,17,6,1,Riverside California,06065,2189641,3945
San Joaquin,0,#N/A,California,41,10,2,,San Joaquin California,06077,685306,1256
Marin,0,#N/A,California,38,,0,,Marin California,06041,252409,458
Ventura,0,#N/A,California,30,5,1,1,Ventura California,06111,823318,1660
San Luis Obispo,0,#N/A,California,27,6,0,,San Luis Obispo California,06079,269637,1747
Sonoma,0,#N/A,California,22,,1,,Sonoma California,06097,483878,1956
San Bernardino,0,#N/A,California,17,7,0,,San Bernardino California,06071,2035210,5906
Santa Cruz,0,#N/A,California,15,,0,,Santa Cruz California,06087,262382,375
Solano,0,#N/A,California,13,,0,,Solano California,06095,413344,749
Santa Barbara,0,#N/A,California,13,,0,,Santa Barbara California,06083,423895,1054
Tulare,0,#N/A,California,12,,0,,Tulare California,06107,442179,2086
Placer,0,#N/A,California,12,,1,,Placer California,06061,348432,748
Monterey,0,#N/A,California,11,,1,,Monterey California,06053,415057,793
Yolo,0,#N/A,California,6,,1,1,Yolo California,06113,200849,156
Imperial,0,#N/A,California,6,,0,,Imperial California,06025,174528,268
Fresno,0,#N/A,California,6,,0,,Fresno California,06019,930450,3551
Stanislaus,0,#N/A,California,5,,0,,Stanislaus California,06099,514453,1584
San Benito,0,#N/A,California,5,,1,,San Benito California,06069,55269,181
Kern,0,#N/A,California,5,,0,,Kern California,06029,839631,1833
Madera,0,#N/A,California,3,,0,,Madera California,06039,150865,462
Humboldt,0,#N/A,California,2,,0,,Humboldt California,06023,134623,299
Calaveras,0,#N/A,California,2,,0,,Calaveras California,06009,45578,48
Siskiyou,0,#N/A,California,2,,0,,Siskiyou California,06093,44900,61
Yuba,0,#N/A,California,2,,0,,Yuba California,06115,72155,173
Amador,0,#N/A,California,1,,0,,Amador California,06005,38091,52
Nevada,0,#N/A,California,1,,0,,Nevada California,06057,98764,176
Mono,0,#N/A,California,1,,0,,Mono California,06051,14202,17
Shasta,0,#N/A,California,1,,0,,Shasta California,06089,177223,748
Mendocino,0,#N/A,California,1,,0,,Mendocino California,06045,87841,141
Butte,0,#N/A,California,1,,0,,Butte California,06007,220000,592
Napa,0,#N/A,California,1,1,0,,Napa California,06055,136484,1780
category Illinois,1,#N/A,Illinois,1049,298,9,3,category Illinois Illinois,#N/A,#N/A,#N/A
Cook,0,#N/A,Illinois,805,257,4,,Cook Illinois,17031,5194675,17992
DuPage,0,#N/A,Illinois,79,14,0,,DuPage Illinois,17043,916924,1880
Lake,0,#N/A,Illinois,69,6,0,,Lake Illinois,17097,703462,968
Will,0,#N/A,Illinois,21,9,1,,Will Illinois,17197,677560,917
Kane,0,#N/A,Illinois,13,5,0,,Kane Illinois,17089,515269,1101
McHenry,0,#N/A,Illinois,12,1,0,,McHenry Illinois,17111,308760,343
McLean,0,#N/A,Illinois,6,,0,,McLean Illinois,17113,169572,200
Kendall,0,#N/A,Illinois,4,2,0,,Kendall Illinois,17093,114736,0
Sangamon,0,#N/A,Illinois,4,,1,,Sangamon Illinois,17167,197465,1045
Winnebago,0,#N/A,Illinois,4,,0,,Winnebago Illinois,17201,295266,907
St. Clair,0,#N/A,Illinois,3,,0,,St. Clair Illinois,17163,270056,818
Peoria,0,#N/A,Illinois,3,,0,,Peoria Illinois,17143,186494,1122
Clinton,0,#N/A,Illinois,3,,0,,Clinton Illinois,17027,37762,0
Madison,0,#N/A,Illinois,2,,0,,Madison Illinois,17119,269282,943
Kankakee,0,#N/A,Illinois,2,,0,,Kankakee Illinois,17091,113449,468
Woodford,0,#N/A,Illinois,2,,0,,Woodford Illinois,17203,38664,18
Unassigned,2,#N/A,Illinois,2,,3,3,Unassigned Illinois,#N/A,#N/A,#N/A
Champaign,0,#N/A,Illinois,2,,0,,Champaign Illinois,17019,201081,549
Washington,0,#N/A,Illinois,1,,0,,Washington Illinois,17189,14716,0
LaSalle,0,#N/A,Illinois,1,,0,,LaSalle Illinois,17099,113924,244
Cumberland,0,#N/A,Illinois,1,,0,,Cumberland Illinois,17035,11048,0
Adams,0,#N/A,Illinois,1,,0,,Adams Illinois,17001,67103,335
Jackson,0,#N/A,Illinois,1,,0,,Jackson Illinois,17077,60218,184
Christian,0,#N/A,Illinois,1,,0,,Christian Illinois,17021,34800,67
Williamson,0,#N/A,Illinois,1,,0,,Williamson Illinois,17199,66357,431
DeKalb,0,#N/A,Illinois,1,,0,,DeKalb Illinois,17037,105160,191
Whiteside,0,#N/A,Illinois,1,,0,,Whiteside Illinois,17195,58498,135
Jo Daviess,0,#N/A,Illinois,1,1,0,,Jo Daviess Illinois,17085,22678,25
Stephenson,0,#N/A,Illinois,1,1,0,,Stephenson Illinois,17177,47711,100
Livingston,0,#N/A,Illinois,1,1,0,,Livingston Illinois,17105,38950,42
Rock Island,0,#N/A,Illinois,1,1,0,,Rock Island Illinois,17161,147546,444
category Michigan,1,#N/A,Michigan,1038,229,9,1,category Michigan Michigan,#N/A,#N/A,#N/A
Wayne,0,#N/A,Michigan,477,128,5,1,Wayne Michigan,26163,1820584,6009
Oakland,0,#N/A,Michigan,277,48,2,,Oakland Michigan,26125,1202362,4435
Macomb,0,#N/A,Michigan,140,19,1,,Macomb Michigan,26099,840978,1119
Washtenaw,0,#N/A,Michigan,35,6,0,,Washtenaw Michigan,26161,344791,1719
Kent,0,#N/A,Michigan,22,1,1,,Kent Michigan,26081,602622,1840
Genesee,0,#N/A,Michigan,14,7,0,,Genesee Michigan,26049,425790,1169
Ingham,0,#N/A,Michigan,11,,0,,Ingham Michigan,26065,280895,1093
Livingston,0,#N/A,Michigan,8,2,0,,Livingston Michigan,26093,180967,177
St. Clair,0,#N/A,Michigan,7,,0,,St. Clair Michigan,26147,163040,398
Ottawa,0,#N/A,Michigan,6,4,0,,Ottawa Michigan,26139,263801,311
Monroe,0,#N/A,Michigan,6,3,0,,Monroe Michigan,26115,152021,217
Midland,0,#N/A,Michigan,5,2,0,,Midland Michigan,26111,83629,308
Berrien,0,#N/A,Michigan,3,1,0,,Berrien Michigan,26021,156813,512
Charlevoix,0,#N/A,Michigan,2,1,0,,Charlevoix Michigan,26029,25949,25
Clinton,0,#N/A,Michigan,2,,0,,Clinton Michigan,26037,75382,25
Out of State,2,#N/A,Michigan,2,1,0,,Out of State Michigan,#N/A,#N/A,#N/A
Eaton,0,#N/A,Michigan,2,,0,,Eaton Michigan,26045,107759,45
Calhoun,0,#N/A,Michigan,2,1,0,,Calhoun Michigan,26025,136146,291
Saginaw,0,#N/A,Michigan,2,1,0,,Saginaw Michigan,26145,200169,968
Jackson,0,#N/A,Michigan,1,,0,,Jackson Michigan,26075,160248,389
Chippewa,0,#N/A,Michigan,1,1,0,,Chippewa Michigan,26033,38520,82
Bay,0,#N/A,Michigan,1,,0,,Bay Michigan,26017,107771,389
Wexford,0,#N/A,Michigan,1,,0,,Wexford Michigan,26165,32735,49
Clare,0,#N/A,Michigan,1,,0,,Clare Michigan,26035,30926,49
Leelanau,0,#N/A,Michigan,1,,0,,Leelanau Michigan,26089,21708,0
Montcalm,0,#N/A,Michigan,1,,0,,Montcalm Michigan,26117,63342,148
Otsego,0,#N/A,Michigan,1,,0,,Otsego Michigan,26137,24164,46
Allegan,0,#N/A,Michigan,1,,0,,Allegan Michigan,26005,111408,68
Tuscola,0,#N/A,Michigan,1,,0,,Tuscola Michigan,26157,55729,50
Gladwin,0,#N/A,Michigan,1,,0,,Gladwin Michigan,26051,25692,25
Emmet,0,#N/A,Michigan,1,1,0,,Emmet Michigan,26047,32694,178
Grand Traverse,0,#N/A,Michigan,1,1,0,,Grand Traverse Michigan,26055,86986,377
Roscommon,0,#N/A,Michigan,1,1,0,,Roscommon Michigan,26143,24449,0
Barry,0,#N/A,Michigan,1,,0,,Barry Michigan,26015,59173,49
category Florida,1,#N/A,Florida,1007,244,13,,category Florida Florida,#N/A,#N/A,#N/A
Miami-Dade,0,#N/A,Florida,227,58,0,,Miami-Dade Florida,12086,2496435,9965
Broward,0,#N/A,Florida,217,53,3,,Broward Florida,12011,1748066,6715
Palm Beach,0,#N/A,Florida,72,16,0,,Palm Beach Florida,12099,1320134,4993
Hillsborough,0,#N/A,Florida,58,11,0,,Hillsborough Florida,12057,1229226,4857
Duval,0,#N/A,Florida,39,14,1,,Duval Florida,12031,864263,4071
Pinellas,0,#N/A,Florida,38,9,0,,Pinellas Florida,12103,916542,4119
Alachua,0,#N/A,Florida,35,10,0,,Alachua Florida,12001,247336,1765
Orange,0,#N/A,Florida,33,4,2,,Orange Florida,12095,1145956,4751
Collier,0,#N/A,Florida,33,5,0,,Collier Florida,12021,321520,1051
Lee,0,#N/A,Florida,26,9,2,,Lee Florida,12071,618754,2240
Osceola,0,#N/A,Florida,24,3,0,,Osceola Florida,12097,268685,997
Seminole,0,#N/A,Florida,19,7,0,,Seminole Florida,12117,422718,965
Sarasota,0,#N/A,Florida,17,3,0,,Sarasota Florida,12115,379448,1618
St. Johns,0,#N/A,Florida,16,7,0,,St. Johns Florida,12109,190039,335
Volusia,0,#N/A,Florida,14,3,0,,Volusia Florida,12127,494593,2042
Okaloosa,0,#N/A,Florida,14,2,0,,Okaloosa Florida,12091,180822,673
Manatee,0,#N/A,Florida,13,,1,,Manatee Florida,12081,322833,806
Pasco,0,#N/A,Florida,11,3,1,,Pasco Florida,12101,464697,1440
Polk,0,#N/A,Florida,11,1,0,,Polk Florida,12105,602095,1793
Indian River,0,#N/A,Florida,8,3,0,,Indian River Florida,12061,138028,612
Citrus,0,#N/A,Florida,8,,0,,Citrus Florida,12017,141236,332
Clay,0,#N/A,Florida,7,1,1,,Clay Florida,12019,190865,416
Brevard,0,#N/A,Florida,7,2,0,,Brevard Florida,12009,543376,1768
Lake,0,#N/A,Florida,6,2,0,,Lake Florida,12069,297052,897
Sumter,0,#N/A,Florida,5,1,0,,Sumter Florida,12119,93420,339
Hernando,0,#N/A,Florida,5,,0,,Hernando Florida,12053,172778,620
Leon,0,#N/A,Florida,5,1,1,,Leon Florida,12073,275487,1208
Walton,0,#N/A,Florida,4,,0,,Walton Florida,12131,55043,108
Escambia,0,#N/A,Florida,4,3,0,,Escambia Florida,12033,297619,1276
Santa Rosa,0,#N/A,Florida,4,1,1,,Santa Rosa Florida,12113,151372,385
St. Lucie,0,#N/A,Florida,3,2,0,,St. Lucie Florida,12111,277789,836
Marion,0,#N/A,Florida,3,1,0,,Marion Florida,12083,331298,919
Nassau,0,#N/A,Florida,2,1,0,,Nassau Florida,12089,73314,54
Columbia,0,#N/A,Florida,2,2,0,,Columbia Florida,12023,67531,346
Charlotte,0,#N/A,Florida,2,,0,,Charlotte Florida,12015,159978,823
Putnam,0,#N/A,Florida,2,1,0,,Putnam Florida,12107,74364,99
Martin,0,#N/A,Florida,2,1,0,,Martin Florida,12085,146318,558
Baker,0,#N/A,Florida,2,1,0,,Baker Florida,12003,27115,1163
Bay,0,#N/A,Florida,1,,0,,Bay Florida,12005,168852,752
Monroe,0,#N/A,Florida,1,,0,,Monroe Florida,12087,73090,148
Jackson,0,#N/A,Florida,1,,0,,Jackson Florida,12063,49746,87
Highlands,0,#N/A,Florida,1,,0,,Highlands Florida,12055,98786,323
Unassigned,2,#N/A,Florida,1,,0,,Unassigned Florida,#N/A,#N/A,#N/A
Gadsden,0,#N/A,Florida,1,,0,,Gadsden Florida,12039,46389,1253
Bradford,0,#N/A,Florida,1,1,0,,Bradford Florida,12007,28520,25
Desoto,0,#N/A,Florida,1,1,0,,Desoto Florida,12027,34862,49
Flagler,0,#N/A,Florida,1,1,0,,Flagler Florida,12035,95696,99
category Louisiana,1,#N/A,Louisiana,837,74,20,,category Louisiana Louisiana,#N/A,#N/A,#N/A
Orleans,0,#N/A,Louisiana,451,33,15,,Orleans Louisiana,22071,343829,1647
Jefferson,0,#N/A,Louisiana,166,,3,,Jefferson Louisiana,22051,432552,1628
Unassigned,2,#N/A,Louisiana,50,41,0,,Unassigned Louisiana,#N/A,#N/A,#N/A
St. Tammany,0,#N/A,Louisiana,22,,0,,St. Tammany Louisiana,22103,233740,946
East Baton Rouge,0,#N/A,Louisiana,18,,0,,East Baton Rouge Louisiana,22033,440171,2055
