LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
category New York,1,#N/A,New York,33006,6617,366,95,category New York New York,#N/A,#N/A,#N/A
New York,0,#N/A,New York,20011,4414,280,88,New York New York,360000,8175133,24245
Westchester,0,#N/A,New York,4691,800,1,,Westchester New York,36119,949113,3235
Nassau,0,#N/A,New York,3285,416,17,3,Nassau New York,36059,1339532,4181
Suffolk,0,#N/A,New York,2260,380,20,3,Suffolk New York,36103,1493350,3583
Rockland,0,#N/A,New York,968,297,5,,Rockland New York,36087,311687,791
Orange,0,#N/A,New York,638,140,1,1,Orange New York,36071,372813,902
Dutchess,0,#N/A,New York,153,29,1,,Dutchess New York,36027,297488,676
Albany,0,#N/A,New York,152,6,0,,Albany New York,36001,304204,1381
Erie,0,#N/A,New York,122,1,1,,Erie New York,36029,919040,2788
Monroe,0,#N/A,New York,118,12,3,,Monroe New York,36055,744344,2009
Putnam,0,#N/A,New York,84,2,0,,Putnam New York,36079,99710,164
Onondaga,0,#N/A,New York,81,21,1,,Onondaga New York,36067,467026,1672
Ulster,0,#N/A,New York,65,30,0,,Ulster New York,36111,182493,325
Saratoga,0,#N/A,New York,64,11,0,,Saratoga New York,36091,219607,259
Schenectady,0,#N/A,New York,55,11,1,,Schenectady New York,36093,154727,538
Sullivan,0,#N/A,New York,39,16,0,,Sullivan New York,36105,77547,169
Rensselaer,0,#N/A,New York,38,2,0,,Rensselaer New York,36083,159429,423
Tompkins,0,#N/A,New York,23,5,0,,Tompkins New York,36109,101564,212
Columbia,0,#N/A,New York,19,1,0,,Columbia New York,36021,63096,192
Niagara,0,#N/A,New York,12,2,0,,Niagara New York,36063,216469,623
Broome,0,#N/A,New York,11,2,2,,Broome New York,36007,200600,742
Clinton,0,#N/A,New York,10,4,0,,Clinton New York,36019,82128,300
Oneida,0,#N/A,New York,10,,0,,Oneida New York,36065,234878,725
Ontario,0,#N/A,New York,9,3,0,,Ontario New York,36069,107931,399
Steuben,0,#N/A,New York,8,,0,,Steuben New York,36101,98990,115
Madison,0,#N/A,New York,7,3,1,,Madison New York,36053,73442,126
Wayne,0,#N/A,New York,7,1,0,,Wayne New York,36117,93772,120
Herkimer,0,#N/A,New York,5,1,0,,Herkimer New York,36043,64519,25
Delaware,0,#N/A,New York,5,2,0,,Delaware New York,36025,47980,67
Wyoming,0,#N/A,New York,4,,1,,Wyoming New York,36121,42155,62
Greene,0,#N/A,New York,4,,0,,Greene New York,36039,49221,0
Montgomery,0,#N/A,New York,4,1,0,,Montgomery New York,36057,50219,130
Essex,0,#N/A,New York,4,,0,,Essex New York,36031,39370,40
Washington,0,#N/A,New York,4,1,0,,Washington New York,36115,63216,0
Cortland,0,#N/A,New York,3,,0,,Cortland New York,36023,49336,162
Livingston,0,#N/A,New York,3,,0,,Livingston New York,36051,65393,67
Chenango,0,#N/A,New York,3,,0,,Chenango New York,36017,50477,58
Chemung,0,#N/A,New York,3,,0,,Chemung New York,36015,88830,391
Genesee,0,#N/A,New York,2,1,0,,Genesee New York,36037,60079,131
Allegany,0,#N/A,New York,2,,0,,Allegany New York,36003,48946,76
Chautauqua,0,#N/A,New York,2,,0,,Chautauqua New York,36013,134905,399
Jefferson,0,#N/A,New York,2,,0,,Jefferson New York,36045,116229,344
Hamilton,0,#N/A,New York,2,,0,,Hamilton New York,36041,4836,0
Schoharie,0,#N/A,New York,2,1,0,,Schoharie New York,36095,32749,40
Cayuga,0,#N/A,New York,2,,0,,Cayuga New York,36011,80026,99
Oswego,0,#N/A,New York,2,,0,,Oswego New York,36075,122109,158
Warren,0,#N/A,New York,2,,0,,Warren New York,36113,65707,410
Otsego,0,#N/A,New York,2,1,0,,Otsego New York,36077,62259,240
Tioga,0,#N/A,New York,1,,0,,Tioga New York,36107,51125,0
St. Lawrence,0,#N/A,New York,1,,0,,St. Lawrence New York,36089,111944,319
Fulton,0,#N/A,New York,1,,0,,Fulton New York,36035,55531,74
Franklin,0,#N/A,New York,1,,0,,Franklin New York,36033,51599,173
Unassigned,2,#N/A,New York,0,,31,,Unassigned New York,#N/A,#N/A,#N/A
category New Jersey,1,#N/A,New Jersey,4402,727,62,18,category New Jersey New Jersey,#N/A,#N/A,#N/A
Unassigned,2,#N/A,New Jersey,930,285,44,18,Unassigned New Jersey,#N/A,#N/A,#N/A
Bergen,0,#N/A,New Jersey,819,118,6,,Bergen New Jersey,34003,905116,3019
Essex,0,#N/A,New Jersey,381,39,4,,Essex New Jersey,34013,783969,4007
Middlesex,0,#N/A,New Jersey,316,39,0,,Middlesex New Jersey,34023,809858,2657
Monmouth,0,#N/A,New Jersey,313,25,3,,Monmouth New Jersey,34025,630380,2176
Union,0,#N/A,New Jersey,262,16,0,,Union New Jersey,34039,536499,1521
Hudson,0,#N/A,New Jersey,260,26,1,,Hudson New Jersey,34017,634266,1878
Passaic,0,#N/A,New Jersey,255,39,0,,Passaic New Jersey,34031,501226,1187
Morris,0,#N/A,New Jersey,223,19,1,,Morris New Jersey,34027,492276,2005
Ocean,0,#N/A,New Jersey,222,42,1,,Ocean New Jersey,34029,576567,1522
Somerset,0,#N/A,New Jersey,117,15,1,,Somerset New Jersey,34035,323444,759
Mercer,0,#N/A,New Jersey,82,24,0,,Mercer New Jersey,34021,366513,1690
Camden,0,#N/A,New Jersey,61,10,1,,Camden New Jersey,34007,513657,2518
Burlington,0,#N/A,New Jersey,48,6,0,,Burlington New Jersey,34005,448734,1112
Sussex,0,#N/A,New Jersey,27,9,0,,Sussex New Jersey,34037,149265,146
Hunterdon,0,#N/A,New Jersey,25,,0,,Hunterdon New Jersey,34019,128349,184
Gloucester,0,#N/A,New Jersey,23,4,0,,Gloucester New Jersey,34015,288288,609
Warren,0,#N/A,New Jersey,18,3,0,,Warren New Jersey,34041,108692,309
Atlantic,0,#N/A,New Jersey,12,6,0,,Atlantic New Jersey,34001,274549,1414
Cape May,0,#N/A,New Jersey,4,1,0,,Cape May New Jersey,34009,97265,242
Cumberland,0,#N/A,New Jersey,3,1,0,,Cumberland New Jersey,34011,156898,511
Salem,0,#N/A,New Jersey,1,,0,,Salem New Jersey,34033,66083,222
category California,1,#N/A,California,3023,393,65,12,category California California,#N/A,#N/A,#N/A
Los Angeles,0,#N/A,California,812,143,13,3,Los Angeles California,06037,9818605,28383
Santa Clara,0,#N/A,California,459,84,17,1,Santa Clara California,06085,1781642,3831
San Diego,0,#N/A,California,238,,2,,San Diego California,06073,3095313,7623
Orange,0,#N/A,California,187,35,1,,Orange California,06059,3010232,7902
San Francisco,0,#N/A,California,178,26,1,,San Francisco California,06075,805235,4733
San Mateo,0,#N/A,California,165,4,5,4,San Mateo California,06081,718451,1781
Alameda,0,#N/A,California,135,,2,,Alameda California,06001,1510271,3833
Sacramento,0,#N/A,California,113,25,5,1,Sacramento California,06067,1418788,3500
Contra Costa,0,#N/A,California,108,22,1,,Contra Costa California,06013,1049025,1804
San Joaquin,0,#N/A,California,68,8,3,1,San Joaquin California,06077,685306,1256
Riverside,0,#N/A,California,68,11,7,1,Riverside California,06065,2189641,3945
Marin,0,#N/A,California,53,,0,,Marin California,06041,252409,458
San Luis Obispo,0,#N/A,California,46,4,0,,San Luis Obispo California,06079,269637,1747
Ventura,0,#N/A,California,39,,1,,Ventura California,06111,823318,1660
San Bernardino,0,#N/A,California,38,,1,,San Bernardino California,06071,2035210,5906
Sonoma,0,#N/A,California,37,3,1,,Sonoma California,06097,483878,1956
Placer,0,#N/A,California,30,4,1,,Placer California,06061,348432,748
Santa Barbara,0,#N/A,California,26,2,0,,Santa Barbara California,06083,423895,1054
Monterey,0,#N/A,California,24,,1,,Monterey California,06053,415057,793
Kern,0,#N/A,California,24,9,0,,Kern California,06029,839631,1833
Solano,0,#N/A,California,24,,0,,Solano California,06095,413344,749
Santa Cruz,0,#N/A,California,24,,0,,Santa Cruz California,06087,262382,375
Fresno,0,#N/A,California,19,1,0,,Fresno California,06019,930450,3551
Tulare,0,#N/A,California,17,,0,,Tulare California,06107,442179,2086
Stanislaus,0,#N/A,California,12,1,0,,Stanislaus California,06099,514453,1584
Yolo,0,#N/A,California,10,,1,,Yolo California,06113,200849,156
Humboldt,0,#N/A,California,10,5,0,,Humboldt California,06023,134623,299
Imperial,0,#N/A,California,9,,0,,Imperial California,06025,174528,268
San Benito,0,#N/A,California,7,,1,,San Benito California,06069,55269,181
Madera,0,#N/A,California,6,,0,,Madera California,06039,150865,462
Butte,0,#N/A,California,4,,0,,Butte California,06007,220000,592
Nevada,0,#N/A,California,4,,0,,Nevada California,06057,98764,176
Mono,0,#N/A,California,4,2,0,,Mono California,06051,14202,17
Yuba,0,#N/A,California,3,,0,,Yuba California,06115,72155,173
El Dorado,0,#N/A,California,3,,0,,El Dorado California,06017,181058,240
Siskiyou,0,#N/A,California,3,,0,,Siskiyou California,06093,44900,61
Shasta,0,#N/A,California,3,,1,1,Shasta California,06089,177223,748
Mendocino,0,#N/A,California,2,,0,,Mendocino California,06045,87841,141
Amador,0,#N/A,California,2,,0,,Amador California,06005,38091,52
Calaveras,0,#N/A,California,2,,0,,Calaveras California,06009,45578,48
Napa,0,#N/A,California,2,,0,,Napa California,06055,136484,1780
Merced,0,#N/A,California,2,1,0,,Merced California,06047,255793,246
Sutter,0,#N/A,California,2,2,0,,Sutter California,06101,94737,92
Inyo,0,#N/A,California,1,1,0,,Inyo California,06027,18546,62
category Washington,1,#N/A,Washington,2592,120,133,8,category Washington Washington,#N/A,#N/A,#N/A
King,0,#N/A,Washington,1359,82,101,7,King Washington,53033,1931249,5433
Snohomish,0,#N/A,Washington,634,20,16,,Snohomish Washington,53061,713335,786
Pierce,0,#N/A,Washington,155,17,2,1,Pierce Washington,53053,795225,2408
Whatcom,0,#N/A,Washington,64,,2,,Whatcom Washington,53073,201140,253
Unassigned,2,#N/A,Washington,63,,0,,Unassigned Washington,#N/A,#N/A,#N/A
Skagit,0,#N/A,Washington,48,,1,,Skagit Washington,53057,116901,205
Yakima,0,#N/A,Washington,47,,1,,Yakima Washington,53077,243231,528
Island,0,#N/A,Washington,38,,1,,Island Washington,53029,78506,76
Spokane,0,#N/A,Washington,33,,0,,Spokane Washington,53063,471221,1847
Grant,0,#N/A,Washington,27,,1,,Grant Washington,53025,89120,186
Kitsap,0,#N/A,Washington,20,,0,,Kitsap Washington,53035,251133,381
Clark,0,#N/A,Washington,16,,4,,Clark Washington,53011,425363,580
Thurston,0,#N/A,Washington,14,,0,,Thurston Washington,53067,252264,474
Benton,0,#N/A,Washington,13,1,3,,Benton Washington,53005,175177,447
Chelan,0,#N/A,Washington,10,,1,,Chelan Washington,53007,72453,251
Jefferson,0,#N/A,Washington,9,,0,,Jefferson Washington,53031,29872,25
Franklin,0,#N/A,Washington,7,,0,,Franklin Washington,53021,78163,106
Kittitas,0,#N/A,Washington,6,,0,,Kittitas Washington,53037,40915,25
Klickitat,0,#N/A,Washington,6,,0,,Klickitat Washington,53039,20318,42
Clallam,0,#N/A,Washington,4,,0,,Clallam Washington,53009,71404,163
Cowlitz,0,#N/A,Washington,3,,0,,Cowlitz Washington,53015,102410,202
Lewis,0,#N/A,Washington,2,,0,,Lewis Washington,53041,75455,125
Mason,0,#N/A,Washington,2,,0,,Mason Washington,53045,60699,25
Douglas,0,#N/A,Washington,2,,0,,Douglas Washington,53017,38431,0
Whitman,0,#N/A,Washington,2,,0,,Whitman Washington,53075,44776,50
Walla Walla,0,#N/A,Washington,2,,0,,Walla Walla Washington,53071,58781,316
