LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
category New York,1,#N/A,New York,44892,5752,527,66,category New York New York,#N/A,#N/A,#N/A
New York,0,#N/A,New York,25573,2461,366,1,New York New York,360000,8175133,24245
Westchester,0,#N/A,New York,7187,1243,1,,Westchester New York,36119,949113,3235
Nassau,0,#N/A,New York,4657,743,19,,Nassau New York,36059,1339532,4181
Suffolk,0,#N/A,New York,3385,650,30,8,Suffolk New York,36103,1493350,3583
Rockland,0,#N/A,New York,1457,260,7,,Rockland New York,36087,311687,791
Orange,0,#N/A,New York,910,159,1,,Orange New York,36071,372813,902
Erie,0,#N/A,New York,245,24,5,,Erie New York,36029,919040,2788
Dutchess,0,#N/A,New York,225,35,1,,Dutchess New York,36027,297488,676
Albany,0,#N/A,New York,187,16,0,,Albany New York,36001,304204,1381
Monroe,0,#N/A,New York,166,18,4,,Monroe New York,36055,744344,2009
Onondaga,0,#N/A,New York,123,12,1,,Onondaga New York,36067,467026,1672
Putnam,0,#N/A,New York,111,17,0,,Putnam New York,36079,99710,164
Ulster,0,#N/A,New York,98,20,0,,Ulster New York,36111,182493,325
Saratoga,0,#N/A,New York,82,9,0,,Saratoga New York,36091,219607,259
Schenectady,0,#N/A,New York,66,4,1,,Schenectady New York,36093,154727,538
Sullivan,0,#N/A,New York,64,11,0,,Sullivan New York,36105,77547,169
Tompkins,0,#N/A,New York,48,16,0,,Tompkins New York,36109,101564,212
Rensselaer,0,#N/A,New York,44,,0,,Rensselaer New York,36083,159429,423
Columbia,0,#N/A,New York,27,3,0,,Columbia New York,36021,63096,192
Niagara,0,#N/A,New York,23,9,0,,Niagara New York,36063,216469,623
Broome,0,#N/A,New York,18,2,2,,Broome New York,36007,200600,742
Madison,0,#N/A,New York,17,8,1,,Madison New York,36053,73442,126
Ontario,0,#N/A,New York,14,3,0,,Ontario New York,36069,107931,399
