LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
Whatcom,0,#N/A,Washington,48,,2,,Whatcom Washington,53073,201140,253
Skagit,0,#N/A,Washington,45,1,1,1,Skagit Washington,53057,116901,205
Spokane,0,#N/A,Washington,29,9,0,,Spokane Washington,53063,471221,1847
Yakima,0,#N/A,Washington,25,9,0,,Yakima Washington,53077,243231,528
Island,0,#N/A,Washington,25,4,1,,Island Washington,53029,78506,76
Grant,0,#N/A,Washington,23,,1,,Grant Washington,53025,89120,186
Kitsap,0,#N/A,Washington,18,,0,,Kitsap Washington,53035,251133,381
Clark,0,#N/A,Washington,13,3,4,1,Clark Washington,53011,425363,580
Thurston,0,#N/A,Washington,11,,0,,Thurston Washington,53067,252264,474
Benton,0,#N/A,Washington,9,2,3,1,Benton Washington,53005,175177,447
Jefferson,0,#N/A,Washington,6,,0,,Jefferson Washington,53031,29872,25
Chelan,0,#N/A,Washington,6,3,0,,Chelan Washington,53007,72453,251
Franklin,0,#N/A,Washington,5,2,0,,Franklin Washington,53021,78163,106
Kittitas,0,#N/A,Washington,5,1,0,,Kittitas Washington,53037,40915,25
Klickitat,0,#N/A,Washington,4,,0,,Klickitat Washington,53039,20318,42
Clallam,0,#N/A,Washington,4,,0,,Clallam Washington,53009,71404,163
Cowlitz,0,#N/A,Washington,3,,0,,Cowlitz Washington,53015,102410,202
Lewis,0,#N/A,Washington,2,,0,,Lewis Washington,53041,75455,125
Whitman,0,#N/A,Washington,2,1,0,,Whitman Washington,53075,44776,50
Columbia,0,#N/A,Washington,1,,0,,Columbia Washington,53013,4078,25
Douglas,0,#N/A,Washington,1,1,0,,Douglas Washington,53017,38431,0
Walla Walla County,0,Walla Walla Washington,Washington,1,,0,,Walla Walla County Washington,53071,58781,316
Grays Harbor,0,#N/A,Washington,1,,0,,Grays Harbor Washington,53027,72797,130
Stevens,0,#N/A,Washington,1,,0,,Stevens Washington,53065,43531,90
San Juan,0,#N/A,Washington,1,,0,,San Juan Washington,53055,15769,25
Mason,0,#N/A,Washington,1,,0,,Mason Washington,53045,60699,25
Adams,0,#N/A,Washington,1,1,0,,Adams Washington,53001,18728,57
Lincoln,0,#N/A,Washington,1,,0,,Lincoln Washington,53043,10570,85
category California,1,#N/A,California,2203,387,43,8,category California California,#N/A,#N/A,#N/A
Los Angeles,0,#N/A,California,540,131,8,3,Los Angeles California,06037,9818605,28383
Santa Clara,0,#N/A,California,321,19,13,3,Santa Clara California,06085,1781642,3831
San Diego,0,#N/A,California,226,25,1,,San Diego California,06073,3095313,7623
San Mateo,0,#N/A,California,142,25,1,,San Mateo California,06081,718451,1781
San Francisco,0,#N/A,California,131,23,0,,San Francisco California,06075,805235,4733
Orange,0,#N/A,California,125,30,0,,Orange California,06059,3010232,7902
Alameda,0,#N/A,California,122,16,1,1,Alameda California,06001,1510271,3833
Sacramento,0,#N/A,California,88,35,4,1,Sacramento California,06067,1418788,3500
Contra Costa,0,#N/A,California,71,10,1,,Contra Costa California,06013,1049025,1804
San Joaquin,0,#N/A,California,51,10,2,,San Joaquin California,06077,685306,1256
Riverside,0,#N/A,California,46,3,6,,Riverside California,06065,2189641,3945
Marin,0,#N/A,California,38,,0,,Marin California,06041,252409,458
Ventura,0,#N/A,California,35,5,1,,Ventura California,06111,823318,1660
San Luis Obispo,0,#N/A,California,33,6,0,,San Luis Obispo California,06079,269637,1747
Sonoma,0,#N/A,California,29,2,1,,Sonoma California,06097,483878,1956
Santa Cruz,0,#N/A,California,22,7,0,,Santa Cruz California,06087,262382,375
Solano,0,#N/A,California,21,7,0,,Solano California,06095,413344,749
Placer,0,#N/A,California,20,8,1,,Placer California,06061,348432,748
Santa Barbara,0,#N/A,California,18,,0,,Santa Barbara California,06083,423895,1054
San Bernardino,0,#N/A,California,17,,0,,San Bernardino California,06071,2035210,5906
Tulare,0,#N/A,California,16,4,0,,Tulare California,06107,442179,2086
Monterey,0,#N/A,California,14,3,1,,Monterey California,06053,415057,793
Kern,0,#N/A,California,12,7,0,,Kern California,06029,839631,1833
Stanislaus,0,#N/A,California,10,2,0,,Stanislaus California,06099,514453,1584
Fresno,0,#N/A,California,6,,0,,Fresno California,06019,930450,3551
Madera,0,#N/A,California,6,3,0,,Madera California,06039,150865,462
Yolo,0,#N/A,California,6,,1,,Yolo California,06113,200849,156
Imperial,0,#N/A,California,6,,0,,Imperial California,06025,174528,268
San Benito,0,#N/A,California,6,1,1,,San Benito California,06069,55269,181
Nevada,0,#N/A,California,3,2,0,,Nevada California,06057,98764,176
Yuba,0,#N/A,California,3,,0,,Yuba California,06115,72155,173
Humboldt,0,#N/A,California,2,,0,,Humboldt California,06023,134623,299
Shasta,0,#N/A,California,2,1,0,,Shasta California,06089,177223,748
Amador,0,#N/A,California,2,1,0,,Amador California,06005,38091,52
El Dorado,0,#N/A,California,2,,0,,El Dorado California,06017,181058,240
Siskiyou,0,#N/A,California,2,,0,,Siskiyou California,06093,44900,61
Calaveras,0,#N/A,California,2,,0,,Calaveras California,06009,45578,48
Butte,0,#N/A,California,2,1,0,,Butte California,06007,220000,592
Napa,0,#N/A,California,2,,0,,Napa California,06055,136484,1780
Merced,0,#N/A,California,1,,0,,Merced California,06047,255793,246
Mono,0,#N/A,California,1,,0,,Mono California,06051,14202,17
Mendocino,0,#N/A,California,1,,0,,Mendocino California,06045,87841,141
category Michigan,1,#N/A,Michigan,1329,291,15,6,category Michigan Michigan,#N/A,#N/A,#N/A
Wayne,0,#N/A,Michigan,638,161,8,3,Wayne Michigan,26163,1820584,6009
Oakland,0,#N/A,Michigan,329,52,4,2,Oakland Michigan,26125,1202362,4435
Macomb,0,#N/A,Michigan,175,35,2,1,Macomb Michigan,26099,840978,1119
Washtenaw,0,#N/A,Michigan,42,7,0,,Washtenaw Michigan,26161,344791,1719
Kent,0,#N/A,Michigan,28,6,1,,Kent Michigan,26081,602622,1840
Genesee,0,#N/A,Michigan,23,9,0,,Genesee Michigan,26049,425790,1169
Ingham,0,#N/A,Michigan,12,1,0,,Ingham Michigan,26065,280895,1093
Ottawa,0,#N/A,Michigan,11,5,0,,Ottawa Michigan,26139,263801,311
